Month,Game,Pay/No Pay,Value,Rejected
April,Ultimatum,No Pay,2.5,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,2.0,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,3.0,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,2.5,False
September,Dictator,Pay,2.5,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,2.5,False
September,Dictator,Pay,2.5,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,0.0,False
September,Dictator,Pay,2.0,False
September,Dictator,Pay,2.0,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,1.0,False
September,Dictator,Pay,2.5,False
September,Dictator,Pay,1.5,False
September,Dictator,Pay,1.0,False
September,Dictator,No Pay,2.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,1.0,False
September,Dictator,No Pay,2.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,0.0,False
September,Dictator,No Pay,2.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,0.0,False
September,Dictator,No Pay,0.0,False
September,Dictator,No Pay,0.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,1.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,1.0,False
September,Dictator,No Pay,1.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.0,False
September,Dictator,No Pay,2.5,False
September,Dictator,No Pay,2.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,1.5,False
September,Ultimatum,Pay,3.0,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,1.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,3.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.0,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,2.5,False
September,Ultimatum,Pay,3.0,False
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,0.0,True
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,1.0,True
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.0,True
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,2.0,True
September,Ultimatum,No Pay,2.25,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,1.75,True
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,2.0,False
September,Ultimatum,No Pay,1.0,False
September,Ultimatum,No Pay,2.5,False
September,Ultimatum,No Pay,1.0,True
September,Ultimatum,No Pay,2.5,False
